Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal
Nonliterary,1,27,0,A bagpipe is a newborn baby.,A bagpipe is loud.,A bagpipe is delicate.,A bagpipe is a musical instrument.,A bagpipe is quiet.,4.25,3.88,2.19,2.44,2.21,2.72,2.96,1.82,1.70,1.31,,1
Nonliterary,1,48,0,A beauitful woman is a desert flower.,A beautiful woman stands out.,A beautiful woman is colorful.,A beautiful woman is a person.,A beautiful woman blends in.,5.33,5.59,2.77,3.87,4.73,4.70,4.13,3.90,4.00,2.10,,1
Nonliterary,1,135,0,A braggart is a snowman.,A braggart is fragile.,A braggart is round.,A braggart is a person who boasts.,A braggart is warm and sensitive.,3.07,2.79,2.63,2.30,1.97,2.60,2.62,1.80,2.10,0.93,,1
Nonliterary,1,30,0,A busybody is a patch of crabgrass.,A busybody is a nuassiance.,A busybody is green.,A busybody is someone who can't stop moving.,A busybody is a help.,4.38,4.54,2.77,3.84,2.93,3.45,3.69,2.96,3.37,1.55,,1
Nonliterary,1,108,1,A butterfly is a flower.,A butterfly is beautiful.,A butterfly often appears on the ground.,A butterfly is a flying insect.,A butterfly is ugly.,4.80,5.10,2.33,3.27,4.30,3.90,3.87,3.73,3.13,1.64,,1
Nonliterary,1,57,1,A butterfly is a winged rainbow.,A butterfly is colorful.,A butterfly appears after rain.,A butterfly is an insect.,A butterfly is ugly.,5.43,5.70,2.73,4.60,4.70,4.80,4.97,3.90,3.90,1.79,,1
Nonliterary,1,78,0,A camel is an ocean liner.,A camel can carry a lot of supplies.,A camel can float.,A camel is an animal.,A camel can't carry very many supplies.,4.17,3.77,2.33,3.20,2.83,3.30,3.17,2.90,2.66,1.62,,1
Nonliterary,1,102,0,A chicken is a walking egg carton.,A chicken is convenient for producing eggs.,A chicken fits in a box.,A chicken is a bird.,A chicken is inconvenient.,5.70,5.80,3.00,3.70,3.83,3.63,5.17,3.03,3.83,1.79,,1
Nonliterary,1,53,0,A child's mind is an apple core.,A child's mind is the foundation for an adult's mind.,A child's mind is growing.,A child's mind is a young mind.,A child's mind is trivial.,3.10,3.38,2.47,2.57,2.27,2.73,2.73,1.63,2.00,1.17,,1
Nonliterary,1,7,0,A desert is a sea. ,A desert is vast.,A desert is flat.,A desert is a hot and dry area of land.,A desert is small.,5.32,4.71,2.40,3.68,4.07,4.38,3.73,4.41,3.26,1.81,,1
Nonliterary,1,124,0,A dilemma is a cactus.,A dilemma is complicated and potentially painful.,A dilemma is small and potentially bloody.,A dilemma is a difficult situation.,A dilemma is simple and safe.,3.97,4.40,2.20,3.97,3.17,3.66,3.97,2.41,3.47,1.39,,1
Nonliterary,1,2,0,A dog is a walking stick.,A dog can support you on a walk.,You can carry a dog on a walk.,A dog is a mammal.,A dog can hurt you on a walk.,3.56,3.38,1.96,2.12,2.03,2.97,2.85,2.55,1.89,1.65,,1
Nonliterary,1,72,0,A dog's stomach is his master's alarm clock.,Dog owners are responsive to their dogs' hunger.,Dogs dislike hunger.,A dog's stomach is an organ.,Dogs don't know when their dogs are hungry.,5.03,5.97,3.07,4.37,3.90,3.17,4.00,3.40,3.55,1.45,,1
Nonliterary,1,84,0,A dream is a solar eclipse.,A dream is a major event.,A dream is a bright event.,A dream usually involves mental imagery.,A dream is a mundane event.,3.21,3.52,2.47,3.27,2.62,2.67,3.50,2.30,2.17,1.75,,1
Nonliterary,1,31,2,A dusty and crowded attic is a paradise to child.,A dusty and crowded attic is fun for children.,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is a room in a house.,A dusty and crowded attic is a scary place,6.00,6.10,4.97,4.80,5.03,4.67,5.63,5.07,4.97,2.03,,1
Nonliterary,1,42,2,A dusty and crowded attic is a scrapbook older people love to page through.,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is fun for children.,A dusty and crowded attic is an upstairs room.,A dusty and crowded attic is a scary place,6.20,6.45,4.07,5.40,5.13,5.03,5.90,4.77,5.43,1.80,,1
Nonliterary,1,128,0,A dynasty is a play.,A dynasty has several phases.,A dynasty is predictable.,A dynasty is a period of political rule.,A dynasty never ends.,3.13,3.13,2.73,3.00,2.13,2.72,2.43,1.89,2.24,0.96,,1
Nonliterary,1,92,0,A fan is a private summer's breeze.,A fan is refreshing.,A fan is warm.,A fan is a tool for moving air around.,A fan is uncomfortable.,5.60,6.13,3.50,4.28,4.77,5.27,4.90,3.67,4.97,1.52,,1
Nonliterary,1,131,0,A fireman is a boxer.,A fireman is strong and strategic when putting out fires.,A fireman has an audience when putting out fires.,A fireman is someone who extinguishes fires.,A fireman is weak and misguided when putting out fires.,3.67,3.83,2.27,2.63,2.83,3.21,2.83,2.03,1.93,1.21,,1
Nonliterary,1,132,0,A fisherman is a spider.,A fisherman waits for their prey.,A fisherman catches food.,A fisherman is someone who goes fishing.,A fisherman attacks their prey.,3.60,3.30,2.27,2.60,3.13,2.48,2.67,1.90,2.30,1.39,,1
Nonliterary,1,65,0,A flower is a grounded bird,A flower looks different and more beautiful than most plants.,A flower looks different and more delicate than most plants.,A flower is a plant.,A flower looks different and more disgusting than most plants.,3.63,3.73,2.37,2.93,2.20,2.53,2.87,2.40,2.48,1.21,,1
Nonliterary,1,215,0,A folk dance is a braid of steps.,A folk dance is intricate. ,A folk dance can be learned.,A folk dance is a cultural expression.,A folk dance is simple.,5.13,5.53,3.90,4.33,4.30,3.87,3.93,2.47,4.70,1.31,,1
Nonliterary,1,152,3,A forest is a harmonica.,There is always noise in the forest.,A forest is relaxing.,A forest is a collection of trees.,A forest is scary.,3.70,3.37,2.53,2.60,2.23,3.03,2.57,2.03,2.60,1.43,,1
Nonliterary,1,113,3,A forest is a harp.,A forest is relaxing.,There is always noise in the forest.,A forest is a collection of trees.,A forest is scary.,3.63,3.57,2.37,2.80,2.43,2.66,2.67,2.04,1.93,1.32,,1
Nonliterary,1,76,0,A friend is a ray of sunshine.,A friend is rejuvinating.,A friend is kind.,A friend is a companion.,A friend is exhausting.,6.33,6.60,3.55,5.87,5.70,5.83,5.70,5.83,5.59,2.41,,1
Nonliterary,1,13,0,A garbage truck is a hungry scavenger.,A garbage truck aggressively looks for trash.,A garbage truck can hold a lot of trash.,A garbage truck is a large vehicle.,A garbage truck waits for trash to be dropped off.,6.36,6.33,2.96,5.60,5.14,5.59,5.62,4.45,4.59,1.92,,1
Nonliterary,1,6,0,A gas station is an oasis. ,A gas station has necessary supplies.,A gas station is beautiful.,A gas station is a store.,A gas station is unwanted.,5.60,5.50,2.81,4.00,3.28,3.59,3.58,3.86,4.15,1.96,,1
Nonliterary,1,39,0,A good lover is a teddy bear.,A good lover is cuddly.,A good lover is a stuffed animal.,A good lover is a romantic partner.,A good lover is irritable.,5.33,5.41,3.27,4.03,4.80,4.87,5.10,4.03,4.00,2.50,,1
Nonliterary,1,37,0,A good professor is an oasis in the desert.,A good professor is rare.,A good professor provides necessary resources.,A good professor is on the faculty at a university.,A good professor is unwanted.,5.93,5.90,3.77,4.87,4.20,3.73,4.13,3.63,4.77,1.93,,1
Nonliterary,1,136,0,A judge is a balance.,A judge is even-handed.,A judge is correct.,A judge is a person who makes important decisions.,A judge is flippant.,5.36,5.28,3.63,4.87,5.10,5.43,5.03,3.60,4.80,1.96,,1
Nonliterary,1,19,0,A kangaroo is a yo-yo.,A kangaroo is an animal that moves up and down.,A kangaroo is a toy,A kangaroo is a mammal.,A kangaroo is an animal that moves forward and back.,5.08,5.38,2.46,3.32,3.31,2.90,4.31,3.00,3.33,1.38,,1
Nonliterary,1,69,0,A kennel is a pet hotel.,A kennel is a temporary place for pets to stay.,A kennel is a temporary place for pets to play.,A kennel is a place that will care for a pet.,A kennel is a permanent place for pets to stay.,6.30,6.63,4.57,3.80,4.97,4.83,5.40,4.10,5.34,1.48,,1
Nonliterary,1,106,0,A lawyer is a lighthouse.,A lawyer helps you stay away from danger.,A lawyer lives close to the water.,A lawyer is a professional.,A lawyer causes problems.,3.80,3.90,2.23,3.20,2.43,2.70,2.70,1.97,2.33,1.25,,1
Nonliterary,1,178,0,A liar's tongue is a spear of distrust.,Don't trust what a liar says.,Don't do what a liar says.,A liar's tongue is a part of their mouth.,Always trust what a liar says.,5.53,5.87,2.97,5.27,5.10,4.80,4.50,3.43,5.20,2.00,,1
Nonliterary,1,32,0,A long distance swimmer is a fearless warrior.,A long distance swimmer is courageous.,A long distance swimmer is violent.,A long distance swimmer is an athlete.,A long distance swimmer is scared.,6.03,5.69,4.10,4.57,4.77,4.93,5.10,4.40,4.60,1.90,,1
Nonliterary,1,133,0,A lottery is a rich uncle.,A lottery is wealth that seems accessible but may not be.,A lottery is wealth that is easily accessible.,A lottery is a gambling game.,A lottery is wealth that seems hard to get but is actually easy.,3.96,4.93,3.07,3.50,3.03,3.62,3.73,2.71,2.60,1.16,,1
Nonliterary,1,59,4,A match in a forest is a potato chip in a potato field.,A match in a forest is small.,A match in a forest can start a large fire.,A match in a forest is a small piece of flammable wood.,A match in a forest is large.,3.67,3.20,2.73,2.27,2.57,3.20,3.03,2.53,2.76,1.10,,1
Nonliterary,1,258,4,A match in a forest is the case of flu in a large family.,A match in a forest can start a large fire.,A match in a forest is small.,A match in a forest is a flamible piece of wood.,A match in a forest is inconsequential.,5.97,5.87,3.90,4.87,5.10,5.10,5.10,3.64,4.77,1.74,,1
Nonliterary,1,156,0,A mining town is a large tavern.,People who live in mining towns drink a lot of alcohol.,People who live in mining towns are friendly.,A mining town is a town where most people work at a mine.,People who live in mining towns never drink alcohol.,4.77,4.97,3.53,3.33,4.47,4.03,3.93,3.00,3.50,1.43,,1
Nonliterary,1,112,0,A mosquito is an arrow.,A mosquito flies through the air and into people.,A mosquito can move fast.,A mosquito is an insect.,A mosquito only moves sometimes.,5.03,5.20,2.57,3.67,3.93,3.68,4.00,2.86,3.40,1.71,,1
Nonliterary,1,51,0,A museum is a history book.,A museum is filled with information.,A museum is boring.,A museum is a building.,A museum is useless.,6.60,6.48,4.63,5.17,5.87,5.73,5.70,5.73,5.47,1.93,,1
Nonliterary,1,171,0,A pimple is the skin's volcano.,Pimples burst.,Pimples are round. ,A pimple is a red bump.,Pimples are hard to see.,6.50,6.40,3.30,3.97,5.50,4.87,5.77,4.03,4.40,1.57,,1
Nonliterary,1,66,0,A pond is nature's mirror.,A pond is reflective.,A pond is flat.,A pond is a small body of water.,A pond is dark.,6.03,6.07,3.70,5.00,5.40,5.53,5.43,5.00,5.14,1.79,,1
Nonliterary,0,43,0,A racially integrated community is a salt and pepper neighborhood.,na,na,na,na,6.17,6.10,4.17,4.23,4.57,5.00,5.17,3.97,5.17,2.13,Avoiding race,1
Nonliterary,1,98,0,A rocket is a bullet to the stars.,A rocket can fly quickly to the stars.,A rocket can be a small object.,A rocket is vehicle for going to outerspace.,A rocket can fly slowly to the stars.,6.13,6.47,3.70,4.63,5.20,5.43,5.83,3.90,5.23,1.89,,1
Nonliterary,1,123,0,A rumor is a plague.,A rumor spreads through people.,A rumor can kill people.,A rumour is a story.,A rumor is uninteresting.,5.00,6.13,3.20,4.63,4.20,4.72,5.23,4.62,4.73,2.11,,1
Nonliterary,1,21,5,A sailboat is a cat.,A sailboat can move nimbly.,A sailboat is small.,A sailboat is a sea vessel.,A sailboat moves where the wind goes.,2.60,2.96,2.08,2.00,1.93,2.17,2.31,1.62,1.85,1.35,,1
Nonliterary,1,107,5,A sailboat is a leaf.,A sailboat moves where the wind goes.,A sailboat is flat.,A sailboat is a sea vessel.,A sailboat can move tactically.,5.23,5.20,2.73,3.40,3.83,3.83,4.43,2.70,3.27,1.64,,1
Nonliterary,1,26,0,A scientist is a spawning trout.,A scientists has lots of ideas.,A scientist has lots of friends.,A scientist is a worker.,A scientist has few ideas.,3.71,3.96,2.81,2.56,1.90,3.41,2.54,2.28,2.11,1.46,,1
Nonliterary,1,82,0,A sculpture is a landmark of an era.,A sculpture reflects the time and place it was created.,A sculpture is big.,A sculpture is a piece of art.,A sculpture has no connection to the time and place it was created.,5.47,4.97,4.40,3.87,3.57,4.07,3.67,3.50,4.55,1.66,,1
Nonliterary,0,88,0,A second marriage is a new car deal on a used model.,na,na,na,na,5.77,5.40,3.30,3.83,4.20,4.43,4.27,3.41,3.67,1.55,Avoiding judge-y statements,1
Nonliterary,1,64,0,A shadow is a piece of night.,A shadow is dark.,A shadow is mysterious.,A shadow is obstructed light.,A shadow is bright.,5.13,5.67,3.27,4.67,4.27,4.10,4.50,3.13,3.90,1.69,,1
Nonliterary,1,209,0,A smile is an ambassador.,A smile helps to make a good impression.,A smile is a person.,A smile is a facial expression.,A smile helps to make a bad impression.,5.07,4.37,2.57,3.77,3.40,4.43,2.73,3.43,3.50,1.43,,1
Nonliterary,0,217,0,A soft-boiled egg is a guillotined aristocrat.,na,na,A solf-boiled egg is boiled for a short time.,na,3.52,3.48,3.79,2.83,2.13,3.17,2.60,1.57,1.97,0.69,What does it mean?,1
Nonliterary,0,60,0,A star is an eye of heaven.,na,na,na,na,5.27,5.53,2.47,4.83,4.77,4.93,4.37,4.23,4.24,1.83,Avoiding religious,1
Nonliterary,1,9,0,A storm is a coffeepot.,A storm is dark.,A storm is hot.,A storm is a disturbed state of the environment.,A storm is clear.,3.44,4.00,2.19,2.80,3.03,2.28,3.35,2.10,2.37,1.69,,1
Nonliterary,1,211,0,A story is a string of beads.,A story is a connected series of events.,A story is an artistic creation.,"A story is a tale with a beginning, middle, and end.",A story is disconnected.,5.17,5.40,2.73,3.77,3.93,3.77,4.87,3.20,3.63,2.03,,1
Nonliterary,1,93,0,A surgeon is an interior decorator.,A surgeon organizes the body so it can function better.,A surgeon operates on the body so it can look more stylish.,A surgeon is a doctor.,A surgeon organizes the body so it can lose function.,5.53,6.20,3.03,3.77,3.97,3.93,5.27,2.77,3.23,1.90,,1
Nonliterary,1,54,6,A trailer-home is a souped-up closet.,A trailer-home doesn't have much extra space.,A trailer-home is a way to take more stuff on trips.,A trailer-home is a portable home.,A trailer-home is protection.,4.90,5.07,2.83,3.40,3.77,3.50,3.33,2.87,2.90,1.43,,1
Nonliterary,1,256,6,A trailer-home is the shell of a wandering turtle.,A trailer-home is always close by.,A trailer-home is protection.,A trailer-home is a portable home.,A trailer-home is a way to take more stuff on trips.,5.86,5.70,3.03,3.97,4.21,4.24,4.48,2.68,4.03,1.62,,1
Nonliterary,1,45,0,A train is a large worm.,A train is long and thin.,A train moves through the ground.,A train is a large vehicle.,A train is short and wide.,5.63,5.93,2.73,3.30,5.30,5.13,4.93,3.20,3.43,1.93,,1
Nonliterary,1,63,7,A tree is an old man.,A tree is old and seems kind.,A tree is old and seems happy.,A tree is a tall plant with leaves.,A tree is old and seems innocent.,4.30,4.27,2.70,3.40,3.73,3.80,4.17,4.33,2.62,1.83,,1
Nonliterary,1,3,7,A tree is an umbrella.,A tree can offer protection from the rain.,A tree can be a fashion accessory.,A tree is a plant.,A tree cannot offer protection from the rain.,5.60,5.83,3.15,4.88,4.69,5.10,4.77,4.41,4.70,2.04,,1
Nonliterary,1,17,0,A tree stump is a dead soldier.,A tree stump is the remains of a tree that was once alive.,A tree stump can mark a grave.,A tree stump is a dead tree.,A tree stump is currently alive.,4.58,4.25,2.54,4.20,3.21,3.82,3.46,2.93,2.96,1.85,,1
Nonliterary,1,104,0,A wave is a tick of a clock.,A wave is consistent.,A wave makes a sound.,A wave is in the ocean.,A wave is slow.,3.67,3.70,2.17,3.10,3.03,2.93,2.93,2.73,2.23,1.54,,1
Nonliterary,1,34,0,A well trained fighter is a knight in armor.,A well trained fighter has extra protection.,A well trained fighter is fast.,A well trained fighter is good at fighting.,A well trained fighter is more vulnerable.,5.53,5.93,3.87,4.07,5.00,4.70,4.60,3.53,4.87,1.77,,1
Nonliterary,1,47,8,A white rabbit's fur in winter is a ready-made suit of long underwear.,A white rabbit's fur in winter is naturally warm and cozy.,A white rabbit's fur in winter is good camoflauge.,A white rabbit's fur in winter is the outermost part of the animal.,A white rabbit's fur in winter is naturally cold and uncomfortable.,5.63,6.07,3.57,3.83,4.73,4.83,5.03,2.97,4.53,1.57,,1
Nonliterary,1,253,8,A white rabbit's fur in winter is a soldier's army-green uniform in a jungle.,A white rabbit's fur in winter is good camoflauge.,A white rabbit's fur in winter is naturally warm and cozy.,A white rabbit's fur in winter is the outermost part of the animal.,A white rabbit's fur in winter is easy to see.,5.93,5.87,3.43,4.90,5.14,4.97,4.93,3.32,4.60,1.85,,1
Nonliterary,1,114,9,A wish is a butterfly.,A wish is delicate.,A wish is beautiful.,A wish is a hope for the future.,A wish is harsh.,3.63,4.00,2.10,2.77,2.47,3.07,2.97,2.90,2.67,1.43,,1
Nonliterary,1,117,9,A wish is a rainbow.,A wish is beautiful.,A wish is delicate.,A wish is a hope for the future.,A wish is harsh.,4.70,4.93,2.27,3.70,3.73,4.34,4.10,3.69,3.60,1.61,,1
Nonliterary,0,56,0,A zebra is a xylophone.,na,na,na,na,3.13,3.60,2.53,2.37,2.70,2.93,3.40,2.53,2.62,0.69,Meaning?,1
Nonliterary,1,187,0,Adventure is a roller-coaster.,Adventure includes positive and negative experiences.,Adventure is fast.,Adventure is a journey.,Adventure is calm.,5.70,5.93,3.83,4.30,5.37,5.50,5.07,4.73,4.47,2.24,,1
Nonliterary,1,191,0,Age is an altar of memories.,Older people have more memories.,People acquire memories as they get older.,Age is the number of years something has been alive.,People start to lose their memory as they age.,5.13,5.13,3.73,4.33,4.33,3.83,4.43,3.80,4.67,1.79,,1
Nonliterary,1,95,0,Airplanes are angry birds.,Airplanes fly on their own course.,Airplanes sometimes attack.,Airplanes are flying vehicles.,Airplanes bring joy.,4.83,4.43,2.33,2.87,4.40,3.87,3.87,2.60,2.63,1.32,,1
Nonliterary,1,150,10,Alcohol is a crutch.,People can become dependent on alcohol.,Drinking provides support.,Alcohol is a drink that can make people feel relaxed.,Drinking is fun but risky.,6.30,6.37,4.40,5.17,4.87,4.90,5.37,6.63,5.20,2.07,,1
Nonliterary,1,206,10,Alcohol is a joyride.,Drinking is fun but risky.,Drinking is scary.,Alcohol is a drink that can make people feel relaxed.,People can become dependent on alcohol.,5.20,5.67,3.63,3.50,3.83,4.30,3.20,4.03,3.43,2.14,,1
Nonliterary,0,75,0,Alcoholism is a parasite.,na,na,na,na,5.70,6.20,3.83,5.13,4.73,4.43,4.93,4.73,4.90,2.21,Avoiding judge-y statements,1
Nonliterary,1,99,0,An accordian is a musical file-folder.,An accordian is has a lot of folds in it.,An accordian is rectangular.,An accordian is a musical instrument.,An accordian is smooth.,5.63,5.70,2.97,3.77,4.93,4.63,5.17,3.70,4.60,1.32,,1
Nonliterary,1,101,0,An accountant is a juggler.,An accountant has to complete lots of different tasks.,An acountant is entertaining.,An accountant is a worker.,Being an accountant is an easy job.,5.87,5.57,3.77,4.57,4.10,4.67,4.33,3.30,3.73,1.96,,1
Nonliterary,1,94,0,An acrobat is the bird of the bigtop.,An acrobat performs in the air.,An acrobat has feathers.,An acrobat is a performer.,An acrobat performs on the ground.,5.57,5.93,3.20,3.23,4.43,3.53,4.70,3.57,4.07,1.57,,1
Nonliterary,1,118,0,An ambassador is a peacock.,An ambassador should attract attention.,An ambassador is beautiful.,An ambassador is a representative of a country.,An ambassador should irritate people.,4.00,3.90,2.30,3.17,2.77,3.21,3.17,2.52,2.60,1.32,,1
Nonliterary,1,1,0,An ant is a bulldozer.,An ant can move a lot of dirt.,An ant is big.,An ant is an insect.,An ant is not very effective.,4.88,4.46,2.27,3.60,3.31,3.83,4.15,3.86,2.81,2.08,,1
Nonliterary,1,81,0,An exaggeration is an invitation to falsehood.,An exaggeration is a precursor to a lie.,An exaggeration is worse than a lie.,An exaggeration is not entirely true.,An exaggeration is not a lie.,5.13,5.80,4.10,4.40,3.63,4.23,3.73,3.70,4.72,1.59,,1
Nonliterary,1,119,0,An idea is a kettle on the stove.,It takes time for an idea to be ready.,It takes water for an idea to be ready.,An idea is a thought.,An idea is ready instantly.,4.27,4.93,2.90,3.80,3.17,3.10,3.87,2.86,3.20,1.50,,1
Nonliterary,1,105,0,An island is a cork.,An island is a place without water.,An island prevents liquid from leaking out of a bottle.,An island is a piece of land surrounded by water.,An island is a place covered in water.,4.53,4.53,2.17,3.33,3.63,3.93,3.90,2.53,2.97,1.43,,1
Nonliterary,1,68,0,An old man is a living history book.,An old man has a lot of knowledge about the past.,An old man has knowledge that could be tested in a history class.,An old man is a man who has lived a long time.,An old man has little knowledge of the past.,6.20,6.43,4.03,4.53,4.60,5.17,5.10,4.77,4.72,2.03,,1
Nonliterary,1,89,0,An umbrella is a portable roof.,An umbrella can provide shelter anywhere.,An umbrella is heavy.,An umbrella is a tool for staying dry.,An umbrella can leak.,6.20,6.67,4.41,4.27,5.20,5.67,5.60,4.33,5.23,1.83,,1
Nonliterary,1,129,0,Anarchy is a watering can for destruction.,Anarchy leads to destruction.,Destruction leads to anarchy.,Anarchy is a lack of government.,Anarchy prevents destruction.,3.66,4.20,3.00,3.83,2.40,2.52,3.63,2.55,3.40,1.50,,1
Nonliterary,1,212,0,Anger is a blizzard.,Anger is chaotic.,Anger is snowy.,Anger is an intense emotion.,Anger is predictable.,5.40,5.97,3.20,4.17,5.50,4.73,4.97,4.10,4.13,2.24,,1
Nonliterary,1,67,11,Artists are gods.,Artists are creators.,Artists know everything.,Artists are creative people.,Artists are show-offs.,3.90,3.73,2.50,2.53,2.27,2.47,2.40,2.53,2.17,1.07,,1
Nonliterary,1,122,11,Artists are peacocks.,Artists are show-offs.,Artists are attractive.,Artists are creative people.,Artists are creators.,4.03,4.24,2.73,2.83,3.17,3.00,3.30,2.76,2.69,1.43,,1
Nonliterary,1,201,0,Babies are angels.,Babies are soothing.,Babies are gentle.,Babies are young people.,Babies are violent.,6.10,5.43,3.23,3.87,5.40,5.50,4.93,5.53,4.57,2.34,,1
Nonliterary,1,49,12,Bargain hunters are flocks of chickens.,Bargain hunters move in groups.,Bargain hunters scratch at merchandise.,Bargain hunters are people looking to save money.,Bargain hunters look for treasure.,4.97,4.59,3.07,3.70,4.03,4.27,4.17,3.07,3.67,1.73,,1
Nonliterary,1,254,12,Bargain hunters are prospectors for gold.,Bargain hunters search for good deals.,Bargain hunters look for treasure.,Bargain hunters are people looking to save money.,Bargain hunters move in groups.,5.34,5.73,3.13,3.87,4.07,4.48,4.45,3.36,3.93,1.59,,1
Nonliterary,1,224,0,Beaches are grills.,Beaches are hot.,Beaches cook food.,Beaches are filled with sand.,Beaches are cold.,5.40,5.07,2.50,3.30,4.30,4.43,4.50,3.30,3.63,1.69,,1
Nonliterary,1,36,0,Beavers are lumberjacks with fur coats.,Beavers cut down trees.,Beavers use tools.,Beavers are mammals.,Beavers never cut down trees.,6.30,6.45,3.53,5.20,5.60,5.07,5.57,4.93,5.27,1.90,,1
Nonliterary,0,28,0,Beggars are the tapeworms of the city.,na,na,na,na,5.64,5.75,2.81,3.84,4.31,3.69,4.46,3.17,3.89,1.73,Derogatory,1
Nonliterary,1,159,0,Beware-of-dog signs are scarecrows.,Beware-of-dog signs are intended to keep certain people away.,Beware-of-dog signs are sometimes effective.,Beware-of-dog signs alert people that there is a dog.,Beware-of-dog signs are intended to attract certain people.,5.63,6.13,4.07,3.80,4.80,4.40,5.10,3.43,4.50,1.57,,1
Nonliterary,1,38,13,Billboards are the yellow pages of the highway.,Billboards provide information about companies.,Billboards are ugly.,Billboards are advertisements.,Billboards lack information.,6.20,6.00,4.03,5.37,4.60,5.00,4.97,3.10,5.07,1.93,,1
Nonliterary,1,214,13,Billboards are warts on the landscape.,Billboards are ugly.,Billboards grow from the land.,Billboards are advertisements.,Billboards are beautiful.,5.37,4.77,3.13,3.77,4.07,3.83,4.47,3.37,3.53,1.66,,1
Nonliterary,1,103,0,Books are treasure chests of information.,Books have lots of valuable information.,Books are heavy.,Books are made of paper.,Books have little valuable information.,6.60,6.41,4.37,5.63,5.23,5.57,5.37,5.70,5.70,1.93,,1
Nonliterary,1,241,0,Caves are empty pockets.,Caves have space that is available for use.,Caves can be on clothing.,Caves are large underground chambers.,Caves have no space that is available for use.,5.79,5.77,3.77,3.73,4.62,4.97,5.62,2.83,4.50,1.45,,1
Nonliterary,0,100,0,Charities are corporate beggars.,na,na,na,na,5.33,5.10,3.67,3.93,3.43,3.73,3.53,2.43,2.97,1.32,Derogatory,1
