Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal
Nonliterary,1,148,0,Chess masters are computers.,Chess masters are mechanical thinkers.,Chess masters are good thinkers.,Chess masters are excellent players.,Chess masters are bad thinkers.,5.30,5.63,3.57,3.67,4.77,3.83,4.33,4.13,4.50,1.83,,1
Nonliterary,1,115,0,Children are sponges.,Children learn quickly.,Children are small.,Children are young people.,Children learn slowly.,4.30,5.27,2.77,3.50,3.37,3.41,3.73,3.76,2.83,1.86,,1
Nonliterary,0,35,0,Cigarette fiends are babies with pacifiers.,na,na,na,na,5.57,5.28,3.43,4.90,4.90,4.83,5.43,4.97,5.23,1.93,Derogatory,1
Nonliterary,0,250,0,Cigarette fiends are dragons.,na,na,na,na,4.71,4.87,2.90,3.73,4.41,4.79,5.21,3.26,3.72,1.78,Derogatory,1
Nonliterary,1,155,0,Coal mines are the bowels of the earth.,Coal mines are unpleasant places.,Coal mines are underground.,Coal mines are places where people extract coal from the land.,Coal mines are pleasant places.,5.62,6.00,3.53,3.83,4.87,4.50,4.77,4.00,4.47,1.77,,1
Nonliterary,1,168,0,Conscience is a thorn in the mind.,Conscience is inconvenient and painful.,Conscience is prickly.,Conscience is a person's inner voice.,Conscience is convenient and joyful.,5.97,6.10,3.23,4.53,4.47,4.00,4.87,4.87,4.80,1.83,,1
Nonliterary,1,77,0,Courtesy is a sweet note in the noise of the city.,Courtesy is a nice gesture.,Courtesy is a quiet gesture.,Courtesy is an expression of kindness.,Courtesy is a mean gesture.,6.00,6.41,3.53,5.60,4.47,5.10,5.17,4.83,5.14,1.66,,1
Nonliterary,1,230,0,Craters are the moon's dimples.,Craters give character to the moon's surface.,Craters give texture to the moon's surface.,Craters are indentions in the moon.,Craters are invisible.,6.34,6.20,3.10,4.47,5.80,5.10,5.63,3.80,4.67,1.52,,1
Nonliterary,1,10,0,Creativity is a toaster.,Creativity enhances things.,Creativity is fast.,Creativity is creating new things.,Creativity is predictable.,2.48,2.96,2.35,2.36,1.93,2.03,2.88,1.52,2.11,1.19,,1
Nonliterary,1,58,14,Criticism is a branding iron.,Criticism is painful.,Criticism is hot.,Criticism is a kind of feedback.,Criticism is fun to hear.,4.90,5.28,3.20,4.03,4.07,3.80,4.33,3.57,3.69,1.79,,1
Nonliterary,1,257,14,Criticism is the helpful medicine only friends can prescribe.,Criticism is necessary and best heard from friends.,Criticism is necessary but never from friends.,Criticism is a kind of feedback.,Criticism is more painful from friends.,6.14,5.63,4.23,4.43,4.62,5.00,4.52,4.41,4.67,1.48,,1
Nonliterary,1,154,0,Danger is a spice.,Danger creates variety.,Danger tastes good.,Danger is when there is a possibility of suffering harm or injury. ,Danger is boring.,4.63,4.87,2.87,3.57,3.53,3.73,3.73,3.43,3.53,1.83,,1
Nonliterary,1,20,0,Darkness is a gloved hand.,Darkness can conceal things.,Darkness is warm.,Darkness is space without light.,Darkness is exciting.,5.20,5.00,2.81,4.32,4.03,3.90,4.46,4.31,3.67,1.65,,1
Nonliterary,1,192,0,Deceit is an ambush.,Deceit is unexpected and damaging.,Deceit is violent.,Deceit is lying.,Deceit is anticipated.,4.67,5.00,3.40,3.90,3.23,3.37,3.73,3.00,3.90,1.72,,1
Nonliterary,1,204,0,Detectives are ferrets.,Detectives go anywhere they can.,Detectives are hairy.,Detectives are people who investigate and solve crimes.,Detectives are loving.,4.00,3.97,3.27,3.50,3.33,3.50,3.37,2.70,3.30,1.38,,1
Nonliterary,1,202,0,Dictators are the stranglers of liberty.,Dictators oppose liberty.,Dictators dislike liberty.,Dictators are the rulers of authoritarian countries.,Dictators promote liberty.,6.10,5.63,3.97,4.97,5.14,5.37,3.97,4.31,5.57,1.79,,1
Nonliterary,1,190,0,Dictionaries are microscopes of words.,Dictionaries have detailed information about words.,Dictionaries are small.,Dictionaries are books with definitions of words.,Dictionaries are useless.,4.83,5.53,3.63,4.53,4.00,3.83,4.43,3.37,4.23,1.76,,1
Nonliterary,1,126,0,Discipline is fertilizer.,Discipline is helpful.,Discipline is a chemical.,Discipline is having a lot of will-power.,Discipline is hard.,4.00,3.83,2.70,3.47,2.90,3.24,3.37,2.31,2.43,1.54,,1
Nonliterary,0,74,0,Divorce is a hand choking the modem family.,na,na,na,na,5.90,5.87,3.67,4.53,4.67,4.23,4.83,4.10,4.17,1.93,Judge-y,1
Nonliterary,1,175,0,Divorce is the earthquake of the family.,Divorce is surprising and disruptive for families.,Divorce is a major negative event for families.,Divorce is when a married couple ends their relationship.,Divorce is predictable and easy for families.,6.00,6.30,3.60,4.90,5.73,5.13,5.27,4.40,5.00,2.03,,1
Nonliterary,1,146,0,Dreams are the movies of the mind.,Dreams are personal entertainment.,Dreams require tickets.,Dreams are what people remember from sleep.,Dreams are boring.,6.33,6.57,4.66,5.57,5.80,5.40,6.07,5.23,5.97,2.30,,1
Nonliterary,0,161,0,Drug addicts are hollow shells.,na,na,na,na,5.93,5.67,3.60,3.93,5.03,5.20,4.63,4.23,4.03,1.93,Derogatory,1
Nonliterary,1,245,0,Each new idea is a sun.,Each new idea can be inspiring.,Each new idea can provide warmth.,Each new idea is a thought.,Each new idea is terrible.,5.52,5.37,3.00,4.70,4.69,4.30,4.14,4.24,5.10,1.97,,1
Nonliterary,1,139,0,Education is a lantern.,Education helps to reveal reality.,Education is fire.,Education is learning at school.,Education is expensive.,5.75,6.07,3.30,5.30,4.73,5.03,5.07,4.67,4.63,2.04,,1
Nonliterary,1,125,0,Evolution is a lottery.,Evolution involves luck.,Evolution is bingo.,Evolution is process.,Evolution is fate.,3.63,3.10,2.43,3.10,2.10,3.17,2.33,2.45,1.97,1.36,,1
Nonliterary,1,25,0,Experience is a used car salesman.,Experience can be misleading.,Experience can be helpful.,Experience is observation.,Experience can be hard to find.,5.00,4.88,3.42,3.08,2.66,3.86,3.27,2.76,2.67,1.58,,1
Nonliterary,1,180,0,Experiments are the lasso of progress.,Experiments are a useful method for making quick progress.,Experiments are made of rope.,Experiments are an important piece of the scientific method.,Experiments are misleading.,5.00,5.10,3.30,4.40,3.57,3.60,3.33,2.80,4.38,1.59,,1
Nonliterary,1,130,0,Extravagance is poison ivy.,Extravagance causes problems and is hard to eliminate.,Extravagance causes a rash.,Extravagance is a lack of restraint.,Extravagance is important.,4.14,4.40,2.67,3.40,2.23,3.17,3.77,2.76,2.97,1.61,,1
Nonliterary,1,141,0,Fame is a credit card.,Fame is worth money.,Fame is temporary.,Fame is when you are known by a lot of people.,Fame is easy to get.,4.61,4.69,2.70,3.50,3.20,3.60,3.14,3.03,3.43,1.41,,1
Nonliterary,1,248,0,Featherweight boxers are wasps.,Featherweight boxers are agile.,Featherweight boxers are annoying.,Featherweight boxers are the lightest weightclass.,Featherweight boxers are pleasant.,4.31,3.20,2.47,3.37,2.97,3.53,3.59,2.17,2.70,1.48,,1
Nonliterary,1,70,15,Freedom is a breath of fresh air.,Freedom is refreshing.,Freedom is cold.,Freedom is a value.,Freedom is difficult.,5.93,6.13,3.47,4.87,4.77,5.03,4.53,5.47,5.17,2.00,,1
Nonliterary,1,5,15,Freedom is truth. ,Freedom is important.,Freedom is the only thing that matters.,Freedom is an ideal.,Freedom is irrelevant.,5.42,4.79,3.81,4.36,3.14,3.48,2.96,5.10,5.11,1.69,Another freedom,1
Nonliterary,1,149,0,Genes are blueprints.,Genes are instructions.,Genes are paper.,Genes are the basic physical unit of heredity.,Genes are distracting.,6.73,6.63,4.93,5.83,5.60,5.23,5.00,5.93,5.77,1.93,,1
Nonliterary,1,16,0,Greed is a hugry buzzard.,Greed is shameless.,Greed can fly.,Greed is an emotion.,Greed is good.,5.84,5.92,3.23,4.60,4.66,4.24,5.15,3.66,4.48,2.12,,1
Nonliterary,1,235,0,Growing up is the funeral of youth.,People change as they age.,Growing up is sad.,Growing up is what happens to people over time.,Growing up is easy.,4.86,5.07,3.30,3.97,3.47,2.43,3.87,3.03,3.20,1.86,,1
Nonliterary,1,111,0,Happiness is gold.,Happiness is valuable.,Happiness is shiny.,Happiness is an emotion.,Happiness is irrelevant.,6.50,6.30,3.47,4.83,3.93,5.10,4.37,5.03,4.37,2.15,,1
Nonliterary,1,138,0,Hard work is a ladder.,Hard work is the way to make progress.,Hard work is the way to perform better.,Hard work is working hard.,Hard work leads to stagnation.,6.11,5.97,3.47,4.77,5.33,5.20,5.10,5.07,4.97,2.19,,1
Nonliterary,1,109,16,History is a magnet.,History attracts certain people.,History is a small piece of metal.,History is told in books.,Everyone hates history.,3.87,4.13,2.70,3.13,2.17,2.53,2.97,2.52,2.97,1.39,,1
Nonliterary,1,22,16,History is a mirror.,We see ourselves in history.,History is a piece of furniture.,History is what happened in the past.,History is unknowable.,5.80,6.42,3.50,5.40,4.62,4.10,4.96,5.03,4.56,2.15,,1
Nonliterary,1,23,16,History is a sponge.,History absorbs people and stories.,History is a record.,History is a story.,We see ourselves in history.,4.08,4.58,3.31,3.40,2.48,2.66,3.12,2.76,3.00,1.46,,1
Nonliterary,1,96,16,History is an alarm clock.,History is motivation.,History is why some people get out of bed in the morning.,History is a story of the past.,History is lazy.,3.70,3.57,2.37,2.70,2.13,3.03,2.70,2.10,2.23,1.21,,1
Nonliterary,1,87,0,Honey is a bear's best friend.,Bears love honey.,Honey is sticky for bears.,Honey is made by bees.,Bears hate honey.,6.50,6.03,4.33,3.90,4.83,5.63,5.03,5.93,4.43,1.97,,1
Nonliterary,1,134,0,Humor is a salve.,Humor is soothing.,You can buy humor.,Humor is funny. ,Humor is irritating.,3.50,3.97,2.87,3.63,2.33,3.13,3.07,2.90,3.30,1.15,,1
Nonliterary,0,177,0,Immature women are uncut diamonds.,na,na,na,na,5.07,5.30,3.07,4.07,4.87,3.90,3.70,3.20,3.97,1.86,Derogatory,1
Nonliterary,1,221,0,Indecision is a whirlpool.,Indecision causes chaos.,Indecision moves in a circle.,Indecision is the inability to make a decision.,Indecision is useful.,5.70,5.80,2.90,5.13,4.63,4.67,5.67,4.00,4.83,2.03,,1
Nonliterary,1,169,0,Lies are a swamp.,Lies can bog people down.,Lies are uncomfortable.,Lies are stories that never happened.,Lies are necessary.,4.97,4.83,2.83,3.77,3.53,3.93,3.83,3.57,3.47,2.27,,1
Nonliterary,0,234,0,Lies are shoals.,na,na,na,na,3.83,3.63,2.93,3.41,2.40,3.40,2.63,2.37,2.96,0.83,Dated,1
Nonliterary,1,164,0,Loneliness is a desert.,Loneliness is isolating.,Loneliness is dry.,Loneliness is the feeling of being alone.,Loneliness is pleasant.,6.23,6.20,3.83,4.80,5.77,5.57,5.77,4.93,5.80,2.23,,1
Nonliterary,1,205,0,Loud voices are bellows.,Loud voices often encourage controversy.,Loud voices often explain controvery.,Loud voices are above normal speaking volume.,Loud voices often discourage controversy.,5.27,5.80,4.53,3.73,4.13,4.50,4.57,4.07,4.17,1.90,,1
Nonliterary,1,15,0,Love is a flower.,Love is beautiful and grows.,Love dies.,Love is an emotion.,Love is ugly.,5.84,5.96,2.92,3.80,4.59,5.00,4.65,5.21,4.33,3.08,,1
Nonliterary,1,193,0,Lust is anarchy.,Lust lacks discipline and will lead to chaos.,Lust lacks happiness and will lead to despair.,Lust is a strong sexual desire.,Lust lacks happiness and is orderly.,3.57,3.10,3.10,3.07,2.47,2.70,2.83,2.50,2.67,1.24,,1
Nonliterary,1,207,0,Marriage is an alloy.,Marriage keeps people together.,Marriage is durable.,Marriage is a formal union of two people.,Marriage is temporary.,4.87,4.97,3.50,3.80,3.77,3.80,3.60,3.03,3.50,1.69,,1
Nonliterary,1,208,0,Memories are mists across lawns.,Memories are fleeting.,Memories are replayed across lawns.,Memories are recollections of the past.,Memories are permanent.,4.67,4.90,2.72,4.20,4.10,4.40,4.80,2.87,3.60,1.46,,1
Nonliterary,1,110,0,Memory is a trash-masher.,We remember distorted versions of the past.,We remember compressed versions of the past.,Memory is what people remember.,We remember accurate versions of the past.,3.40,3.70,2.47,2.92,2.66,2.53,3.20,1.93,2.50,1.58,,1
Nonliterary,1,246,0,Migraine headaches are beating drums.,Migraine headaches can be throbbing.,Migraine headaches can make people sensitive to noise.,Migraine headaches can be sudden and painful.,Migraine headaches are comfortable.,6.52,6.43,3.52,4.97,5.55,5.53,5.90,4.69,5.47,1.97,,1
Nonliterary,1,199,0,Mimes are wooden statues.,Mimes are very still.,Mimes are made of wood.,Mimes are people who portray characters through gesture.,Mimes are active.,3.20,3.60,2.77,2.47,2.90,2.07,3.57,2.27,2.47,1.34,,1
Nonliterary,1,140,17,Money is a lubricant.,Money helps make things happen.,Money is easy to spend.,Money is a medium of economic exchange.,Money makes it harder to get things done.,4.57,5.00,2.70,4.10,3.60,3.80,3.24,3.00,3.50,1.81,,1
Nonliterary,1,127,17,Money is blood.,Money is how people buy the things they need to live.,Money is valuable.,Money is a medium of economic exchange.,Money is unimportant to one's well-being.,3.70,4.03,2.70,2.83,3.20,3.38,3.23,2.79,2.23,1.75,,1
Nonliterary,1,80,17,Money is penicillin.,Money can make problems go away.,Money is easy to spend.,Money is a medium of economic exchange.,Money makes it harder to get things done.,3.53,3.73,2.40,2.50,2.30,2.80,1.70,2.00,2.10,0.97,,1
Nonliterary,1,236,17,Nature is a vast laboratory.,Nature is an unpredictable place.,Nature is a large place.,Nature is all phenomena of the physical world.,Nature is a controlled place.,5.34,5.20,3.67,4.52,4.70,4.77,4.70,3.87,4.70,1.97,,1
Nonliterary,1,238,0,Newspapers are telescopes of events.,Newspapers enable more people from all over to learn about events.,Newspapers include a lot of information about events.,Newspapers are where the news is reported.,Newspapers prevent people from learning about events.,5.41,5.63,3.83,3.97,3.90,4.37,3.93,3.37,4.33,1.79,,1
Nonliterary,1,160,0,Official reports are skeletons of the truth.,Official reports don't tell the whole story.,Official reports are versions of the truth.,Official reports are documents produced by officials.,Official reports are lies.,5.30,5.20,4.07,3.97,4.59,4.27,4.27,3.63,4.30,1.80,,1
Nonliterary,1,165,0,Oil is liquid gold.,Oil is extremely valuable.,Oil is liquid and metallic.,Oil is refined into gas.,Oil is cheap.,6.40,6.70,4.37,5.67,5.70,5.77,5.30,5.80,5.93,2.10,,1
Nonliterary,1,227,18,School teachers are encyclopedias.,School teachers are knowledgable,School teachers are detailed.,School teachers teach classes to students.,School teachers are boring.,5.69,5.47,3.10,3.67,4.28,4.40,4.00,3.66,4.10,2.07,"Note: changed from ""old schoolteachers""",1
Nonliterary,1,62,18,School teachers are granite.,School teachers are strong.,School teachers are detailed.,School teachers teach classes to students.,School teachers are boring.,4.43,4.63,2.97,3.73,3.53,3.53,3.90,2.63,2.90,1.72,"Note: changed from ""old schoolteachers""",1
Nonliterary,1,226,0,Our environment is a chamber pot.,Our environment is filthy.,Our environment smells bad.,Our environment is where we live.,Our environment is beautiful.,4.10,4.17,3.13,3.03,2.93,2.80,3.37,2.17,2.77,1.25,,1
Nonliterary,1,46,0,Perception is the father of memory.,You only remember what you see.,You only remember what you do.,Perception is part of experience.,You can remember everything.,4.53,4.97,2.93,4.17,2.90,3.93,3.10,3.17,4.47,1.33,,1
Nonliterary,1,153,0,Perfume is a magic spell.,Perfume can be powerful.,Perfume can be surprising.,Perfume is a fragrant odor.,Perfume can be off-putting.,5.30,5.20,2.77,3.37,3.63,4.17,3.23,3.17,3.77,1.63,,1
Nonliterary,1,213,0,Perjury is a boomerang.,Perjury comes back to hurt you.,Perjury comes back to help you.,Perjury is an illegal behavior.,Purjury comes back to free you.,4.97,5.17,3.10,4.27,3.67,3.73,3.60,2.63,4.03,1.66,,1
Nonliterary,1,85,0,Poems are the seeds of culture.,Poems are an early part of culture.,Poems are a daily part of culture.,Poems are artistic expressions.,Poems are not a part of culture.,4.47,4.27,3.07,3.87,3.30,3.60,3.43,3.10,3.47,1.59,,1
Nonliterary,1,157,0,Political success is a house of cards.,Political success is unstable over the long term.,Political success can be built over the long term.,Political success is winning elected office.,Political success is easy over the long term.,5.13,5.10,3.07,4.00,4.00,3.70,3.63,3.47,3.80,1.83,,1
Nonliterary,1,79,19,Power is capitalism's narcotic.,Capitalism can be undermined by power.,Power can be injected.,Power is being able to take control.,Power can resolve problems.,4.90,4.60,3.57,4.67,3.30,3.30,3.40,3.13,3.83,1.55,,1
Nonliterary,1,61,19,Power is penicillin.,Power can resolve problems.,Power can be injected.,Power is being able to take control.,Power can cause problems.,4.33,4.13,3.03,2.97,2.40,3.23,2.53,2.97,2.55,1.38,,1
Nonliterary,0,182,0,President Nixon is the leper of American politics.,na,na,na,na,5.40,5.20,3.87,3.57,4.10,3.67,3.77,3.27,3.60,1.79,Dated,1
Nonliterary,1,239,0,Purgatory is the lobby of heaven.,na,na,na,na,4.14,4.62,3.17,4.00,4.14,3.50,3.41,2.69,3.07,1.07,Religious,1
Nonliterary,1,196,0,Rain clouds are pregnant ghosts.,Rain clouds are full of water and white or gray.,Rain clouds are full of water and are colorful.,Rain clouds are filled with water.,Rain clouds do not contain any water.,4.03,4.90,2.77,2.77,3.37,3.83,3.73,1.90,3.07,1.17,,1
Nonliterary,1,73,0,Religion is the lifeblood of society.,Religion is crucial for the health of society.,Religion connects people in society.,Religion is a particular system of faith and worship.,Religion is detrimental to society.,4.90,4.90,3.17,3.83,2.90,3.53,3.33,3.60,3.86,1.83,,1
Nonliterary,1,260,0,Respect is a precious gem.,Respect is valuable.,Respect is hard to find.,Respect is a feeling of admiration.,Respect is silly.,6.24,6.20,3.33,4.97,5.21,5.21,5.03,5.00,5.30,1.85,,1
Nonliterary,1,142,20,Responsibility is a barbell.,Responsibility is hard.,Responsibility is exercise.,Responsibility is a virtue.,Responsibility is easy.,4.82,4.79,2.63,3.27,3.23,3.67,3.72,3.10,2.87,1.52,,1
Nonliterary,1,220,20,Responsibility is a shackle.,Responsibility is confining.,Responsibility is difficult.,Responsibility is a virtue.,Responsibility is easy.,4.69,4.67,2.83,3.23,2.73,3.57,3.40,2.80,3.23,1.21,,1
Nonliterary,1,174,0,Ritual is the prison of individuality.,Ritual eliminates self-expression.,Ritual is physically confining.,Ritual is a behavior done as religious rite.,Ritual encourages self-expression.,4.77,5.03,3.10,4.00,3.83,3.43,3.60,3.33,4.30,1.48,,1
Nonliterary,1,200,0,Sarcastic smiles are acid.,Sarcastic smiles can inflict harm.,Sarcastic smiles can melt plastic.,Sarcastic smiles are not genuine.,Sarcastic smiles can be funny.,5.23,5.67,3.20,4.30,4.43,4.60,4.63,3.93,4.17,2.03,,1
Nonliterary,1,259,0,Scientific research is mountain climbing.,Scientific research is strenuous work.,Scientific research is physical work.,Scientific research is done in labs.,Scientific research is relaxing.,5.97,6.07,3.03,4.73,4.69,5.07,4.69,4.29,4.40,2.04,,1
Nonliterary,1,144,0,Security is a trap.,Security is not as valuable as it seems.,Security is not as friendly as it seems.,Security is being free from danger or threat.,Security is more valuable than it seems.,4.68,4.31,2.73,3.80,3.27,3.33,3.10,3.47,1.97,1.67,,1
Nonliterary,1,194,0,Silence is an apron.,Silence prevents risk.,Silence is made of cloth.,Silence is the complete absence of sound.,Silence causes risk.,3.27,3.67,2.47,2.33,2.03,2.73,3.13,2.33,2.47,1.24,,1
Nonliterary,1,12,21,A skyscraper is a slumbering giant.,A skyscraper is big.,A skyscraper moves slowly.,A skyscraper is a tall building.,A skycraper is small.,5.56,5.29,3.46,4.36,4.17,4.72,4.50,3.66,4.33,1.73,,1
Nonliterary,1,173,21,The skyscraper is the giraffe of buildings.,The skyscraper is the tallest of buildings.,The skyscraper moves slowly.,The skyscraper is a company headquarters.,The skycraper is the smallest of buildings.,5.90,6.31,3.59,4.37,5.20,4.73,5.41,3.25,4.14,1.45,,1
Nonliterary,1,255,21,Skyscrapers are honeycombs of glass.,Skyscrapers have an intricate geometric structure.,Skyscrapers are sweet.,Skyscrapers are tall buildings.,Skyscrapers lack structure.,5.38,4.55,2.97,3.97,4.00,4.00,4.10,2.77,3.93,1.24,,1
Nonliterary,1,52,21,Skyscrapers are the giraffes of the city.,Skyscrapers are the tallest of buildings.,Skyscrapers are slow movers.,Skyscrapers are usually office buildings.,Skyscrapers are the smallest of buildings.,6.47,6.41,3.60,4.43,5.37,4.77,5.53,4.23,4.53,1.53,,1
Nonliterary,1,14,22,Sleep is a snowstorm.,Sleep is quiet but heavy.,Sleep is deep and calm.,Sleep is a physiological state.,Sleep is loud and light.,4.20,4.42,2.44,2.24,2.83,3.72,3.27,3.10,2.59,1.35,,1
Nonliterary,1,90,22,Sleep is an ocean.,Sleep is deep and calm.,Sleep is quiet but heavy.,Sleep is a physiological state.,Sleep is shallow and rough.,3.83,4.27,2.47,2.90,3.40,3.60,2.83,3.43,2.37,1.93,,1
Nonliterary,1,147,0,Smog is a shroud.,Smog makes it hard to see.,Smog is made of cloth.,Smog is pollution.,Smog makes it easy to see.,4.73,5.23,4.00,4.07,3.97,3.70,4.70,3.93,4.07,1.43,,1
Nonliterary,1,86,0,Smoke is a fire's calling card.,Smoke is always present when there's a fire.,Smoke reveals where a fire is.,Smoke is what rises from a fire.,Smoke is never present when there's a fire.,6.17,5.97,4.13,4.87,4.97,5.20,5.40,4.20,5.13,1.62,,1
Nonliterary,0,249,0,Some invalids are royalty to whom all must bow.,na,na,na,na,4.28,4.20,2.90,3.13,3.38,3.27,2.83,2.62,3.10,1.69,Derogatory,1
Nonliterary,0,33,0,Some invalids are wilted leaves of lettuce.,na,na,na,na,5.13,5.52,3.20,3.60,4.30,3.97,4.93,3.73,4.10,1.90,Derogatory,1
Nonliterary,0,41,0,Stray cats are hobos.,na,na,na,na,5.90,6.00,3.83,4.10,5.07,4.53,5.00,3.70,4.90,2.10,Derogatory,1
Nonliterary,0,229,0,Teenage girls are Barbie dolls.,na,na,na,na,5.41,4.93,2.87,3.13,4.60,4.13,4.28,3.27,3.57,2.14,Derogatory,1
Nonliterary,1,242,0,Television is the aspirin for boredom.,Television relieves boredom.,Television prevents boredom.,Television is entertainment.,Television causes boredom.,5.90,5.77,3.83,4.50,4.38,4.27,4.76,4.07,3.80,1.62,,1
Nonliterary,1,247,0,Terrorists are hawks among the fowl.,Terrorists are people who seek to use violence among people who don't wish to use violence.,Terrorists are people who seek to use violence among people who also wish to use violence.,Terrorists are people who use violenece and intimidation.,Terrorists are people who seek to prevent violence among people who wish to use violence.,5.93,5.93,3.40,4.80,5.07,4.70,5.38,3.41,5.07,1.79,,1
Nonliterary,1,203,0,The army is a plague.,The army is killing people.,The army is making people sick.,The army is a branch of the military.,The army is keeping people alive.,4.37,4.53,3.07,3.80,3.37,4.30,3.87,3.27,3.10,1.90,,1
Nonliterary,1,97,0,The automobile is a mechanical horse.,The automobile replaced the horse for many people.,The automobile is faster than a mechanical horse.,The automobile is a land vehicle.,The automobile is not a mechanical horse.,6.07,6.17,3.37,4.20,4.40,4.70,4.90,4.33,4.90,1.93,,1
Nonliterary,0,163,0,The bible is the cement of the church.,na,na,na,na,6.03,6.33,4.03,4.87,5.20,5.17,4.90,4.37,5.40,2.20,Religious,1
Nonliterary,1,4,0,The bird is nature's airplane.,Birds can fly naturally.,Birds have pilots.,The bird is an animal.,Birds aren't real.,6.84,6.71,3.38,5.40,5.90,5.52,5.96,5.31,5.22,1.92,,1
Nonliterary,1,225,0,The blackmailer is a leech.,The blackmailer preys on people.,The blackmailer drinks blood.,The blackmailer uses information to threaten people.,The blackmailer is a good person.,5.73,6.10,3.40,4.37,4.27,4.67,4.93,4.73,5.10,1.83,,1
Nonliterary,1,218,0,The cigar is the skunk of smokes.,The cigar is the worst smelling of smokes.,The cigar has a white stripe.,The cigar is rolled tobacco.,The cigar is the best smelling of smokes.,5.76,6.30,3.67,4.77,4.87,4.80,5.07,4.17,4.43,1.69,,1
Nonliterary,1,120,0,The creative mind is a kettle on the stove.,The creative mind needs time to warm up.,The creative mind needs tea to function.,The creative mind is a mind that is creating.,The creative mind is ready any time.,4.07,5.33,2.67,3.93,3.57,3.34,3.67,3.14,3.17,1.54,,1
Nonliterary,1,166,0,The degree is a doorway.,The degree creates opportunities.,The degree helps people travel.,The degree is recognition.,The degree prevents people from getting new opportunities.,4.57,3.80,2.53,3.60,3.40,3.30,3.37,4.43,3.73,1.50,,1
Nonliterary,1,233,0,The desert is an oven.,The desert is hot.,The desert is square.,The desert is a barren area of land.,The desert is cold.,6.41,6.47,3.90,4.90,6.10,5.67,5.23,5.37,5.13,2.10,,1
Nonliterary,1,244,0,The eager student is a sponge.,The eager student learns quickly.,The eager student has room to grow.,The eager student is excited to learn.,The eager student is patient.,6.03,6.40,3.70,4.83,5.21,4.33,5.34,4.83,5.03,2.07,,1
Nonliterary,0,158,0,The European common market is a grocery store chain.,na,na,na,na,4.23,4.77,3.70,3.57,2.87,3.47,3.07,2.23,2.97,1.20,Reference?,1
