Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal
Nonliterary,1,176,0,The fall of an empire is the sunset of civilization.,The fall of an empire is the end of civilization.,The fall of an empire is the middle of civilization.,The fall of an empire is the end of a political period of rule.,The fall of an empire is the beginning of civilization.,5.03,5.10,3.60,4.20,4.20,4.40,4.50,3.27,3.90,1.45,,1
Nonliterary,0,183,0,The family is a rock of security.,na,na,na,na,6.20,6.43,3.83,5.13,5.37,5.17,4.20,5.33,5.33,2.21,Judge-y,1
Nonliterary,0,145,0,The flash of lightning is the crack of God's eye.,na,na,na,na,4.87,5.27,2.70,4.07,4.17,3.63,3.90,3.87,3.33,1.67,Religious,1
Nonliterary,1,181,0,The look of hate is a laser beam.,The look of hate is powerful.,The look of hate is hot.,The look of hate is an expression of negative emotion.,The look of hate is weak.,5.40,5.63,2.60,4.27,5.17,4.13,5.20,3.87,4.77,1.86,,1
Nonliterary,1,50,0,The mind is a sponge.,The mind is capable of learning a lot.,The mind is capable of forgetting a lot.,The mind enables a person to be aware.,The mind has a fixed capacity.,6.33,6.55,3.90,4.93,5.13,4.70,5.43,5.60,5.27,2.17,,1
Nonliterary,0,116,0,The mind of a child is a blotter.,na,na,na,na,4.47,4.97,3.13,3.83,3.57,3.52,4.30,3.45,3.93,1.43,Reference?,1
Nonliterary,1,179,0,The mosquito is a vampire.,The mosquito drinks blood.,The mosquito wears a cape.,The mosquito is an insect.,The mosquito does not drink blood.,6.53,6.33,3.60,4.07,5.10,5.23,5.80,4.33,5.37,2.31,,1
Nonliterary,0,151,0,The mountains of eastern Russia are the headstones of the Gobi desert.,na,na,na,na,5.13,3.77,4.43,4.43,3.47,4.07,3.93,2.27,4.03,1.20,Reference?,1
Nonliterary,1,167,0,The nightly news is a chamber of horrors.,The nightly news is one horrible story after the next.,The nightly news is one engaging story after the next.,The nightly news is a television program.,The nightly news is one happy story after the next.,5.73,5.53,3.23,3.33,4.43,4.20,4.03,4.43,4.27,1.97,,1
Nonliterary,1,232,0,The palm tree is nature's fan.,The palm tree can be used to cool off.,The palm tree moves air around.,The palm tree is an evergreen.,The palm tree can be used to warm up.,6.00,6.00,3.47,4.47,4.73,5.00,5.33,3.30,4.50,1.86,,1
Nonliterary,1,143,0,The past is a bottomless pit.,A person could spend all their time thinking about the past.,A person should spend all of their time thinking about the past.,The past is what has already happened.,The past is always easy to think about and never takes very long.,5.11,5.03,2.70,3.53,4.27,4.27,4.00,4.23,3.17,2.04,,1
Nonliterary,1,223,0,The pursuit of peace is a tortoise.,Progress has been slow in the pursuit of peace.,Progess has been amphibious in the pursuit of peace.,The pursuit of peace is seeking non-violent resolutions to problems.,Progress has been fast in the pursuit of peace.,4.47,5.43,3.03,4.13,3.93,4.50,4.03,2.63,3.73,1.69,,1
Nonliterary,1,18,0,The queen is a nation's aunt.,The queen helps to lead a nation.,The queen helps to fund a nation.,The queen is a monarch.,The queen is unrelated to a nation.,3.88,4.63,3.12,2.60,2.21,2.93,2.58,2.25,2.85,0.88,,1
Nonliterary,1,243,0,The Rocky mountains are the spine of North America.,The Rocky mountains span the height of North America.,The Rocky mountains support North America.,The Rocky mountains are a tall mountain range.,The Rocky mountains are soft.,6.18,6.00,3.23,4.63,4.93,5.23,5.55,4.45,4.60,1.83,,1
Nonliterary,1,216,0,The sea captain is the quarterback of his ship.,The sea captain is in charge of his ship.,The sea captain plays football on his ship.,The sea captain works on a ship.,The sea captain is asleep on his ship.,6.53,6.33,3.93,4.40,5.43,5.43,5.00,4.53,5.03,1.83,,1
Nonliterary,0,231,0,The South African prime mlnister is Ivory steel.,na,na,na,na,3.48,3.37,2.50,3.38,2.86,2.37,3.13,1.70,2.93,1.21,Reference?,1
Nonliterary,1,184,0,The spy satellite is the shepherd of our nation's security.,The spy satellite helps monitor our nation's security.,The spy satellite helps herd our nation's security.,The spy satelite is a satelite that orbits the earth from space.,The spy satellite helps destroy our nation's security.,4.60,4.63,3.47,3.33,3.53,3.10,2.80,1.73,3.23,1.17,,1
Nonliterary,1,44,23,The stars are a map to a ship captain.,The stars help ship captains to navigate.,The stars help ship captains to see.,The stars are in the sky.,The stars help ship captains to lose their way.,6.40,6.10,4.90,4.60,5.60,5.63,5.27,5.97,5.41,1.67,,1
Nonliterary,1,8,23,The stars are signposts. ,The stars guide travelers.,The stars block travelers.,The stars are fireballs.,The stars hide information.,5.40,5.50,3.35,4.12,3.69,4.00,3.58,3.90,3.63,1.81,,1
Nonliterary,1,252,23,The stars are snowflakes that never fall.,The stars are intricate and beautiful features of the night sky.,The stars are large balls of fire that are always in the sky.,The stars are fireballs.,The stars are simple and bland feature of the night sky.,5.52,5.90,2.60,4.27,4.76,5.14,5.21,2.96,4.17,1.81,,1
Nonliterary,1,195,24,The subconscious is an arena.,The subconscious is open and unconstrained.,It is possible to watch the subconscious.,The subconscious is the part of the mind that is inaccessible to people.,The subconscious is tightly constrained.,3.47,3.73,2.80,2.97,3.03,2.73,3.17,2.63,2.93,1.72,,1
Nonliterary,1,185,24,The unconscious is the kitchen of ideas.,Ideas become better through unconscious processes.,Ideas become different through unconscious processes.,The unconscious is the part of the mind that is inaccessible to people.,Ideas become worse through unconscious processes.,4.73,4.90,3.13,4.17,3.40,3.13,4.07,2.37,3.73,1.93,,1
Nonliterary,1,71,0,The success of capitalism is a thorn in the side of socialism.,The success of capitalism is problematic for socialism.,The success of capitalism is irrelevant to socialism.,The success of capitalism is a topic of debate.,The success of capitalism is good for socialism.,5.23,5.17,3.77,4.34,3.97,3.83,3.77,3.47,4.75,1.24,,1
Nonliterary,0,83,0,The waltz is the nightingale of dance.,na,na,na,na,5.23,5.07,3.40,4.33,4.03,4.47,4.30,3.47,4.34,1.55,Broadly interpretable?,1
Nonliterary,1,121,25,The wind is a cat.,The wind is agile and graceful.,The wind is furry and cute.,The wind is air that blows.,The wind is clumsy and lumbering.,2.90,2.80,2.00,2.13,1.53,1.90,2.37,1.66,1.60,1.29,,1
Nonliterary,1,11,25,The wind is a rocking chair.,The wind goes back and forth.,The wind goes up and down.,The wind is air blowing quickly.,The wind stays still.,4.16,4.54,2.69,3.40,3.31,3.66,4.12,2.62,2.59,1.42,,1
Nonliterary,1,210,25,The wind is an arrow.,The wind goes straight and fast.,The wind is painful.,The wind is air that blows.,The wind goes in circles.,4.83,4.97,2.43,3.20,3.53,3.80,3.43,2.53,2.90,1.55,,1
Nonliterary,1,186,0,The winner's cup is the athlete's crown.,The winner's cup is a valued prize.,The winner's cup is a hat.,The winner's cup is an award for winning the competition.,The winner's cup is a toy.,5.53,5.90,4.13,4.30,5.37,4.93,4.67,4.07,5.57,1.83,,1
Nonliterary,1,137,0,Thought is a boiling kettle.,Thought is an active process.,Thought is a process that involves a lot of pressure.,Thought is what happens in the mind.,Thought is a passive process.,4.82,5.76,3.10,4.37,4.10,3.67,4.10,3.63,3.87,1.78,,1
Nonliterary,1,251,26,Thunderclouds are draperies pulled across the sun.,Thunderclouds cover the sun.,Thunderclouds are made of cloth.,Thunderclouds are rainclouds.,Thunderclouds amplify the sun.,5.90,6.20,2.93,4.47,4.83,4.79,5.48,3.64,4.67,1.81,,1
Nonliterary,1,40,26,Thunderclouds are wild horses galloping across the sky.,Thunderclouds look powerful and move quickly.,Thunderclouds cover the sun.,Thunderclouds are rainclouds.,Thunderclouds look weak and move slowly.,5.83,6.00,2.67,5.03,5.33,5.30,5.23,4.10,4.30,2.30,,1
Nonliterary,1,24,27,Time is a magnet.,People like thinking about time.,People sometimes think about time.,Time is a dimension.,People dislike thinking about time.,4.00,4.54,2.38,3.56,2.38,2.66,2.92,2.79,2.85,1.65,,1
Nonliterary,1,198,27,Time is a physician.,Many ailments like sickness and broken bones heal with time.,Many ailments like sickness and broken bones bring joy with time.,Time is a dimension.,Many ailments like sickness and broken bones get worse with time.,3.67,4.27,2.07,2.67,2.13,2.97,2.37,3.07,2.93,1.48,,1
Nonliterary,1,29,27,Time is a wave.,There are cycles of time.,Time is invisible.,Time is a dimension.,Time is static.,5.52,5.17,2.46,3.92,4.24,3.79,3.96,3.97,3.81,2.04,,1
Nonliterary,1,219,27,Time is the skin of an onion.,Time is layered.,Time is visible.,Time is a dimension.,Time is simple.,3.41,3.37,2.40,3.27,1.83,2.53,3.43,2.27,2.30,1.17,,1
Nonliterary,1,55,28,Tree trunks are pillars for a roof of leaves and branches.,Tree trunks provide support for leaves and branches.,Tree trunks provide nutrients for leaves and branches.,Tree trunks are leftover when trees are cut down.,Tree trunks are weak.,5.53,6.07,3.73,3.86,4.90,4.53,4.87,3.73,4.27,1.53,,1
Nonliterary,1,222,28,Tree trunks are straws for thirsty leaves and branches.,Tree trunks provide nutrients for leaves and branches.,Tree trunks provide support for leaves and branches.,Tree trunks are leftover when trees are cut down.,Tree trunks are empty.,6.07,6.20,3.40,4.53,4.97,5.13,5.50,4.27,5.17,1.79,,1
Nonliterary,1,188,29,Truth is a firefly.,Truth is illuminating.,Truth is powerful.,Truth is a virtue.,Truth is confusing.,4.00,3.90,2.83,3.07,3.23,2.63,3.40,2.47,3.40,1.66,,1
Nonliterary,1,237,29,Truth is a labyrinth.,Truth can be hard to find.,Truth can be disorienting.,Truth is a virtue.,Truth is simple.,4.21,4.20,3.10,3.93,3.40,3.10,3.63,2.97,3.10,1.45,,1
Nonliterary,1,162,0,Typhoons are nature's exterior decorators.,Typhoons can change the physical landscape of an area.,Typhoons can alter the social dynamics of an area.,Typhoons are a serious weather event.,Typhoons hardly impact the physical landscape of an area.,5.03,5.30,3.73,3.43,4.40,3.93,3.73,2.73,3.00,1.63,,1
Nonliterary,0,228,0,Undertakers are mannered vultures.,na,na,na,na,4.79,4.47,2.87,3.10,3.83,3.60,3.80,2.67,3.30,1.76,Derogatory,1
Nonliterary,1,240,0,Weeds are the measles of a garden.,Weeds spread rapidly in a garden.,Weeds stick out and make the garden look interesting.,Weeds are unwanted plants.,Weeds go away easily.,5.89,5.93,3.17,4.77,4.59,4.77,5.14,3.48,4.77,1.71,,1
Nonliterary,1,91,0,Whiskey is penicillin for the soul.,Whiskey relieves existential pain.,Whiskey kills bacteria.,Whiskey is alcohol.,Whiskey is bad for the soul.,4.17,4.33,2.90,3.03,2.57,3.10,3.00,2.50,2.24,1.17,,1
Nonliterary,0,189,0,Wisdom is a foreigner.,na,na,Wisdom is acquired over time.,na,3.63,3.23,2.40,2.97,2.77,2.33,3.13,1.90,2.37,1.52,Dated,1
Nonliterary,1,197,0,Wisdom is a weatherman.,Wisdom is trying over and over again to do something hard.,Wisdom is trying to predict the weather.,Wisdom is acquired over time.,Wisdom is doing nothing.,3.13,3.30,2.43,2.13,1.67,2.83,2.10,1.80,2.03,1.17,,1
Nonliterary,1,170,0,Work is the opium of successful people.,Successful people are addicted to work.,Successful people are habitual workers.,Work is an activity that involves effort.,Successful people never work.,5.17,5.40,4.57,4.57,4.30,4.40,4.20,4.60,4.37,2.03,,1
Nonliterary,1,172,0,Wounds are fjords.,Wounds are extremely deep.,Wounds are beautiful.,Wounds are injuries.,Wounds are superficial.,4.60,4.70,2.93,3.48,3.77,3.57,3.77,2.23,3.21,1.21,,1
Literary,1,54,1,Time is a moving escalator.,Time never stops.,Time is jagged.,Time is continued progress of existence.,Time is extremely valuable.,5.63,5.83,4.13,5.87,4.13,4.43,5.23,5.1,4.07,2.17,,1
Literary,1,65,1,Time is a priceless coin.,Time is extremely valuable.,Time is a circle.,Time is continued progress of existence.,Time is worthless.,5.37,5.9,3.83,4.33,4.97,3.8,3.77,5.43,3.4,2.1,,1
Literary,1,137,1,Time is a transforming chisel.,Things change over time.,Time is strong.,Time is continued progress of existence.,Nothing changes over time.,5.23,5.5,3.53,4,4.43,3.37,4,4.83,3.77,2.07,,1
Literary,1,146,2,Man is a box of nerves.,People can be anxious.,People can be perceptive.,Man is conscious.,People can be calm.,5.43,5.1,4.93,3,4.2,3.9,3.73,4.7,3.47,2.03,,1
Literary,0,3,2,Man is a leaf in the gardens of God.,na,na,Man is conscious.,na,5.6,5.8,3.57,5.4,4.83,4.27,4.73,4.7,3.77,2.07,,1
Literary,1,17,2,Man is a worm that lives on the carcass of the earth.,A person's life is small and irrelevant.,People can wriggle around on the ground.,Man is conscious.,A person's life is important and impactful.,5.77,5.53,3.5,3.8,4.37,4,4.03,4.7,3.17,1.9,,1
Literary,0,24,2,Man is the temple of God.,na,na,Man is conscious.,na,5.6,5.3,3.83,3.7,3.67,3.83,4.23,5,3.03,1.6,,1
Literary,1,116,2,Man is the wandering outlaw of his own dark mind.,People can't help themselves from wanting to do bad things sometimes.,People do bad things sometimes.,Man is conscious.,People can't help themselves from wanting to do good things sometimes.,5.17,4.87,3.2,4.5,4,3.8,3.7,4.67,3.93,1.53,,1
Literary,1,165,2,Mankind is a prisoner of wishes.,People don't have control over what they want.,People never want to do anything.,Mankind is conscious.,People have control over what they want.,5.8,5.1,4.43,4.47,4.1,3.57,4,5.13,3.9,1.9,,1
Literary,1,92,3,Stars are dancers.,The way that stars move around is entertaining.,The way that stars move around is fast.,Stars are in the sky.,The way that stars move around is invisible.,5.2,5.3,2.97,3.47,5.53,5.07,4.87,4.8,3.63,2.17,,1
Literary,1,19,3,The stars are beads strung on one string.,The stars are connected.,The stars are circles.,The stars are in the sky.,The stars are disconnected.,5.47,4.57,3.1,3.47,4.33,4.33,3.93,3.87,2.23,1.5,,1
Literary,1,102,3,The stars are fireflies.,The stars are bright.,The stars are circles.,The stars are in the sky.,The stars are connected.,5.73,6.13,3.87,4,5.8,5.53,5.97,5.63,4.33,1.77,,1
Literary,1,36,4,The wind is a hammer driving heads of rain before it.,The wind moves rain forcefully.,The wind moves rain into wood.,Wind is the natural movement of air.,The wind moves rain gently.,5.03,5.27,3.2,4.57,4.93,4.27,4.47,4.27,3.4,1.66,,1
Literary,1,10,4,The wind is a wrestler.,The wind is strong and agile.,The wind is competing.,The wind is the natural movement of air.,The wind is soft and clumsy.,5.5,5.37,3.57,4.4,5,4.43,4.63,4.47,3.43,2.07,,1
Literary,0,20,5,The soul is a rope that binds heaven and earth.,na,na,The soul is the spiritual or immaterial part of a human being.,na,5.87,5.83,3.5,4.7,3.77,3.47,4.23,5.23,3.77,1.67,,1
Literary,0,121,5,The soul is a voiceless thought.,na,na,The soul is the spiritual or immaterial part of a human being.,na,5.67,5.3,4.43,4.5,4.53,3.2,3.67,5.13,5.23,1.63,,1
Literary,1,21,6,A body is a prison for the soul.,A body is confining.,A body is in jail.,A body is the physical structure of a person.,A body can do anything.,6.13,6.03,4.03,4.6,3.9,4.17,4.4,5.67,4,1.8,,1
Literary,1,195,6,The body is a fading mansion taken on a short lease.,The body is getting older and closely observed.,The body is losing color and close by.,The body is the physical structure of a person.,The body is getting younger and ignored.,5.3,5.2,3.4,4.17,3.9,3.9,3.87,4.8,3.57,1.7,,1
Literary,1,153,7,Snow is a down-pelt for winter.,Snow is soft and heavy.,Snow is often on jackets.,Snow is frozen water that falls from the sky.,Snow is rough.,5.5,5.47,4.07,3.93,4.87,5.23,4.43,5.2,4.83,1.73,,1
Literary,1,2,7,Snow is winter's robes.,Snow can be a covering.,Snow can be warm.,Snow is frozen water that falls from the sky.,Snow can be see-through.,6.13,6.6,3.9,4.97,5.73,4.83,5.1,5.7,4.47,1.93,,1
Literary,1,23,8,Clouds are puffballs,Clouds look soft.,Clouds look delicious.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds look rough.,6.6,6.67,4.5,4.07,6.37,5.97,6.2,6.1,5.13,1.7,,1
Literary,1,32,8,Clouds are tossed pillows.,Clouds look scattered around.,Clouds look intricate.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds look orderly.,6.37,5.97,3.17,4.73,5.97,5.77,5.77,4.93,4.3,1.93,,1
Literary,1,6,8,Clouds are worlds of wool.,Clouds are intricate.,Clouds look soft.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds are simple.,5.77,6.03,3.38,4.53,5.6,4.97,5.13,4.9,3.7,1.83,,1
Literary,1,22,9,Love is an antidote for the world's ills.,The world's problems can be solved with love.,The world's problems can be understood with love.,Love is an emotion.,The world's problems can be made worse with love.,6.57,6.5,4.87,4.53,3.93,3.93,4,5.9,3.97,1.6,,1
Literary,1,194,9,Love is the star guiding every wandering ship.,Love can be informative.,Love can be found in a ship.,Love is an emotion.,Love is to be ignored.,5.97,6.07,3.6,5.4,5.47,4.93,5.33,5.93,4.43,1.7,,1
Literary,1,89,0,An autumn storm is the funeral song of the dying year.,An autumn storm is a final indicator of an ending year.,An autumn storm is a loud indicator of an ending year.,An autumn storm is an intense weather event that happens in fall.,An autumn storm is the first indicator of an ending year.,5.07,5.77,3.8,4.83,4.87,4.37,4.37,5.33,4.37,1.77,,1
Literary,1,86,0,Nerves after a quarrel are frozen leaves in winter.,Nerves after a quarrel are brittle.,Nerves after a quarrel are scarce.,Nerves are fibres in the body that transmit impulses of sensation.,Nerves after a quarrel are pliable.,5.27,4.73,3.3,5.2,5.2,4.1,5.37,4.8,4.53,1.77,,1
Literary,1,16,0,A bed is a temple of love.,A bed is sacred.,A bed is religious furniture.,A bed is furniture.,A bed is a mundane piece of furniture.,6.1,6.1,3.5,4.07,5,5.1,4.2,5.5,3.27,2.07,,1
Literary,1,118,0,"A broken heart is a shattered mirror, reflecting life in pieces.",A broken heart is disruptive and disorienting.,A broken heart can be violent.,A broken heart is failed organ.,A broken heart is easy to handle.,5.43,5.93,3.77,6,6.07,4.8,5.4,5.6,5.4,2.07,,1
Literary,1,114,0,A dead loved-one is ink-blotted from life's page.,A dead loved-one is a fundamental change.,A dead loved-one is a superficial change.,A dead loved-one is no longer alive.,A dead loved-one is an easy change.,5.3,5.37,3.3,3.9,4.4,4.07,4.3,4.33,3.1,1.43,,1
Literary,1,147,0,A photograph is a one-sided skin of truth.,The amount of information you can show on a photograph is limited.,Photographs never mislead.,A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.,The amount of information you can show on a photograph is unlimited.,5.33,5.53,3.9,3.97,4.63,4.5,3.57,4.43,4.6,1.83,,1
Literary,1,120,0,An avalanche is a thunderbolt of snow.,An avalanche is powerful.,An avalanche is loud.,An avalanche is a mass of snow and ice falling down a mountainside.,An avalanche is weak.,6.17,6.2,4.63,4.3,6.23,5.93,5.43,5.43,5.43,1.8,,1
Literary,1,124,0,Ancient wisdom is a fountain which makes you thirstier the more you drink.,Ancient wisdom is really interesting.,Ancient wisdom is unfulfilling.,Ancient wisdom is knowledge and experience that has been available for a long time.,Ancient wisdom is boring.,5.67,5.93,4.07,5.27,4.33,4.3,4.4,5.8,4.6,1.7,,1
Literary,1,197,0,Books are the full-ripened grain of a poet's mind.,Books are the final result of a long process.,Books are made of plants.,Books are written works with pages bound in covers.,Books are easy to write.,5.47,5.17,3.43,4.77,4.4,3.9,4.13,4.9,3.87,1.97,,1
Literary,1,119,0,Despair is a living tree feeding on death.,Despair is sustained by death.,Despair tastes bad.,Despair is the absence of hope.,Despair is sustained by positivity.,5.03,4.47,3.13,4.53,3.77,3.3,4.03,4.67,3.8,1.57,,1
Literary,1,52,0,Earth is a buzzing beehive grove.,Earth is an active place.,Earth is a quiet place.,Earth is a planet.,Earth is an inactive place.,5.03,4.93,3.77,4.17,5.13,4.23,4.73,4.5,3.6,2.07,,1
Literary,1,131,0,Faithful love is a tree standing through the stormiest hour.,Faithful love is strong and supportive.,Faithful love is tall and protects from rain.,Faithful love is long-lasting love.,Faithful love is exhausting.,6.23,6.3,3.93,5.73,6.1,4.9,5.93,6.3,5.07,1.93,,1
Literary,0,5,0,God is a sheltering bird.,na,na,na,na,5.2,5.17,3.47,3.93,3.77,3.93,4.2,3.43,3.53,1.97,,1
Literary,1,112,0,Hope is a castle built on reeds.,Hope is precarious.,Hope is beautiful.,Hope is an emotion.,Hope is guaranteed.,5.03,4.87,3.17,4.1,4.13,3.6,4.13,4.27,3.47,1.73,,1
Literary,1,201,0,Melancholy is a weeping cloud.,Melancholy is profound grief.,Melancholy is soft.,Melancholy is feeling very sad.,Melancholy is wet.,5.03,4.77,2.97,4.1,4.73,3.93,4.6,4.37,3.5,1.53,,1
Literary,1,110,0,Memories are the roots that clutch.,Memories are stabilizing.,Memories are long.,Memories are how the mind stores and remembers information.,Memories are nerve-wracking.,5.33,5.52,3.53,5,4.6,3.93,4.73,5.17,3.9,1.87,,1
Literary,1,28,0,Moonlight is bleach.,Moonlight makes everything look white.,Moonlight removes bacteria.,Moonlight is the reflection of energy from the sun off the moon.,Moonlight makes everything look dark.,5.67,5,3.17,3.57,4.3,4.03,3.87,3.8,3.6,1.53,,1
Literary,1,8,0,Peace is a wild wood-dove.,Peace is elusive.,Peace is beautiful.,Peace is the absense of violence.,Peace is everywhere.,5.28,4.77,3.17,3.67,5.03,3.43,4.6,4.13,3.43,1.6,,1
Literary,1,141,0,Peas in their pods are summer children in their mothers.,Peas grow together inside a pod that nurtures them.,Peas grow together inside a pod that touches them.,Peas in their pods are vegetables.,Peas grow together inside a pod that harms them.,5.1,5.07,3.3,4.37,4.83,4.43,4.27,4.07,3.73,1.57,,1
Literary,1,12,0,Rain is a collection of sheeny tears.,Rain is shiny and wet and sad.,Rain is shiny and wet and small.,Rain is water that falls from the sky.,Rain is shiny and wet and happy.,5.03,5.87,3.87,4.3,5.03,5.4,5.13,4.83,4.47,1.57,,1
Literary,1,42,0,Silence is a black cavern.,Silence is mysterious.,It is quiet underground.,Silence is the absense of sound.,Silence is familiar.,5.93,5.8,3.57,4.77,5.47,4.47,4.77,4.97,4.87,2.1,,1
Literary,0,164,0,Study of God is a keyless door.,na,na,na,na,5.07,5.23,4.17,4.13,4.77,4,4.53,4.43,4.43,2.17,,1
Literary,1,27,0,Sunlight is golden dust.,Sunlight sparkles.,Sunlight can be bottled.,Sunlight is light from the sun.,Sunlight is dull.,6.03,5.97,3.77,5.03,5.87,5.47,5.27,5.33,4.4,1.8,,1
Literary,1,127,0,Tears are a mother's weakness.,Tears always elicit sympathy from mothers.,Tears are hard for mothers to lift up.,Tears commonly express sadness.,Tears never elicit sympathy from mothers.,5.33,4.93,5.13,3.27,4.47,4.63,3.6,4.77,3.47,1.97,,1
Literary,1,126,0,The brain is the prisoner of thought.,The brain can only think certain thoughts.,The brain can only think about prison.,The brain is an organ in the skull.,The brain can think any thoughts.,5.4,5.23,4.17,4.3,4.53,4.8,3.73,5.03,4.4,1.9,,1
Literary,1,9,0,The mind is a mountainous landscape,The mind thinks lots of different thoughts.,The mind is vast.,The mind is the part of a person that enables them to be aware of the world.,The mind thinks the same thoughts over and over again.,5.83,5.57,3.73,4.7,5.47,4.03,5.13,5.17,3.83,2.23,,1
Literary,0,189,0,The sun is the eye of heaven.,na,na,na,na,6.1,5.8,3.67,5.5,5.6,4.73,4.37,5.6,4,2.07,,1
Literary,1,76,0,"The three ports of life are dreaming, waking and dying.","There are three ways to transition into or out of normal life: dreaming, waking and dying.","There are three ways to enjoy normal life: dreaming, waking and dying.",The three ports of life are three places to enter or exit being alive.,"There are three ways to maintain normal life: dreaming, waking and dying.",5.07,5.2,4,3.77,4.3,3.47,3.9,4.57,3.17,1.93,,1
Literary,1,159,0,The tongue is a bayonet.,The tongue can be used to say mean things that hurt people.,The tongue is long and thin.,The tongue is a muscle.,The tongue is still.,5.8,5.43,3.53,5.07,4.73,4.53,5.17,5.13,3.97,2.47,,1
Literary,1,182,0,The wailing of shells is a choir for dead soldiers.,The sound of shells memorializes soldiers who have died.,The sound of shells overshadows soldiers who have died.,The sound of shells is the sound of artillery exploding.,The sound of shells trivializes soldiers who have died.,5.27,3.7,3.23,4.33,4.37,4.1,4.2,4.1,3.87,1.67,,1
Literary,1,85,0,Tranquility is a woodland river winding through hills in solitude.,Tranquility is beautiful.,Tranquility is lonely.,Tranquility is calmness.,Tranquility is hideous.,6.27,6.13,4.03,5.3,5.77,4.53,5.97,593,4.93,1.93,,1
Literary,1,115,0,Waves are the sailor's steed.,Waves move sailors through water.,Waves need to be fed by sailors.,Waves are the natural movements of water.,Waves stabilize sailors.,5.5,5.17,3.8,4.47,4.3,4.13,4.5,4.6,4.1,1.33,,1